from,to,flag
12930232,12933291,1
12932983,12930500,1
12932326,12932327,1
12932375,12930500,1
12930993,12932251,1
12931355,12934508,1
12930590,12930485,1
12931120,12930500,1
12930281,12932251,1
12933284,12933904,1
12934159,12931358,1
12932326,12930994,1
12931031,12931036,1
12932983,12934488,1
12933077,12930712,1
12933796,12931483,1
12932844,12932251,1
12930994,12933053,1
12933732,12932251,1
12932983,12932158,1
12932326,12933053,1
12932983,12932375,1
12934488,12932375,1
12934488,12932158,1
12930534,12933190,1
12932158,12932375,1
12931120,12932158,1
12931850,12932955,1
12934543,12932128,1
12931120,12932375,1
12934077,12934433,1
12931850,12934326,1
12932900,12933904,1
12931850,12933291,1
12931850,12932031,1
12931631,12930443,1
12931820,12931113,1
12933437,12934347,1
12934077,12934488,1
12931850,12934203,1
12930526,12931082,1
12933504,12930396,1
12932158,12930500,1
12932695,12934433,1
12932440,12933804,1
12932780,12932066,1
12931655,12932327,1
12931603,12933190,1
12930647,12931593,1
12933200,12930485,1
12934077,12931658,1
12932584,12934546,1
12931850,12931082,1
12931850,12931782,1
12934056,12931593,1
12933937,12930396,1
12932892,12931082,1
12930422,12931483,1
12934486,12932128,1
12934077,12933904,1
12930647,12931658,1
12931843,12934393,1
12930724,12932190,1
12934077,12932946,1
12930975,12930485,1
12933204,12931483,1
12930794,12932089,1
12930580,12932158,1
12932089,12932091,1
12931843,12932327,1
12933204,12930396,1
12934422,12930396,1
12934077,12932787,1
12932123,12930396,1
12930647,12932946,1
12934077,12934517,1
12934124,12932780,1
12934203,12932624,1
12931603,12934433,1
12931603,12931593,1
12931850,12931658,1
12930647,12933541,1
12931655,12932951,1
12934077,12930518,1
12932296,12931112,1
12931655,12931658,1
12934077,12932086,1
12931740,12931045,1
12934414,12934393,1
12932020,12932409,1
12932892,12930232,1
12931919,12934372,1
12933062,12931593,1
12932020,12931658,1
12931161,12932238,1
12933937,12932783,1
12932892,12932946,1
12933937,12932898,1
12931850,12933435,1
12930998,12931112,1
12934077,12932128,1
12932297,12934393,1
12932297,12934203,1
12933204,12934393,1
12932296,12930396,1
12933204,12932946,1
12932327,12933053,1
12930647,12930968,1
12930526,12932238,1
12931031,12934393,1
12934077,12932305,1
12932693,12931045,1
12934414,12930485,1
12932946,12932528,1
12932870,12933505,1
12934077,12932816,1
12933062,12932946,1
12932695,12931358,1
12932893,12930396,1
12934488,12930500,1
12932297,12930396,1
12933062,12931045,1
12932681,12932327,1
12934404,12930396,1
12934393,12930396,1
12930573,12933504,1
12930647,12931045,1
12934506,12931355,1
12932297,12931593,1
12930647,12932158,1
12930724,12931472,1
12934414,12930396,1
12931655,12931082,1
12930583,12930500,1
12932693,12932946,1
12931740,12932407,1
12933672,12932190,1
12933937,12931361,1
12932297,12933190,1
12930282,12930232,1
12932020,12932035,1
12934077,12933303,1
12930395,12930396,1
12934502,12930500,1
12930647,12932238,1
