from,to,flag
983,117159,1
983,10189,1
983,2079,1
983,3728,1
983,7295,1
983,292,1
983,1832,1
983,27288,1
983,2091,1
983,6294,1
983,388697,1
983,81532,1
983,4069,1
983,55681,1
983,388698,1
983,2670,1
983,10921,1
983,448834,1
27235,117159,1
27235,11051,1
27235,3608,1
27235,128866,1
27235,2670,1
27235,55681,1
27235,8971,1
27235,7295,1
27235,6294,1
27235,6155,1
27235,292,1
27235,291,1
27235,7417,1
27235,5495,1
27235,27288,1
27235,10921,1
27235,23333,1
27235,6742,1
27235,81532,1
27235,30968,1
27235,23581,1
27235,94239,1
27235,10189,1
27235,6418,1
27235,3728,1
27235,5494,1
27235,375,1
27235,11052,1
27235,94081,1
27235,9967,1
27235,7534,1
27235,3005,1
27235,1832,1
27235,4191,1
27235,1736,1
27235,10131,1
27235,23396,1
27235,5160,1
27235,509,1
27235,3336,1
27235,5162,1
27235,3945,1
27235,54927,1
27235,10528,1
27235,388697,1
27235,5250,1
27235,7086,1
27235,55210,1
27235,1828,1
27235,89777,1
27235,2058,1
27235,3418,1
27235,5106,1
27235,448834,1
27235,2108,1
27235,1615,1
27235,26156,1
27235,9774,1
27235,293,1
27235,4629,1
27235,9775,1
27235,55920,1
27235,4141,1
27235,9361,1
1355,10211,1
1355,6136,1
1355,2319,1
1355,128866,1
1355,6155,1
1355,201161,1
1355,26986,1
1355,6156,1
1355,3608,1
1355,4736,1
1355,10284,1
1355,29082,1
1355,6158,1
1355,292,1
1355,7417,1
1355,26097,1
1355,255626,1
1355,7419,1
1355,375,1
1355,2079,1
1355,8971,1
1355,2091,1
1355,291,1
1355,117159,1
1355,740,1
1355,51121,1
1355,6154,1
1355,30968,1
1355,7416,1
1355,9987,1
1355,3182,1
1355,23333,1
1355,22913,1
1355,821,1
1355,4698,1
1355,27288,1
1355,10476,1
1355,55681,1
1355,4697,1
1355,5478,1
1355,10131,1
1355,1347,1
1355,983,1
1355,6184,1
1355,54460,1
1355,5685,1
1355,8815,1
1355,5162,1
1355,6161,1
1355,6838,1
1355,55210,1
1355,5216,1
1355,9551,1
1355,6294,1
1355,3005,1
1355,4673,1
1355,6742,1
1355,509,1
1355,23155,1
1355,55651,1
1355,25873,1
1355,7295,1
1355,4001,1
1355,144983,1
1355,94081,1
1355,22907,1
1355,4942,1
1355,6165,1
1355,2108,1
1355,9188,1
1355,7153,1
1355,6748,1
1355,6418,1
1355,81532,1
1355,11224,1
1355,51639,1
1355,8402,1
1355,2010,1
1355,54814,1
